city,sector,rank_zscore,clean_city_name,country
monterrey,Hospitality,-0.8164965809277253,Monterrey,MX
puebla,Hospitality,1.6329931618554527,Puebla,MX
tijuana,Hospitality,-0.8164965809277253,Tijuana,MX
toluca,Hospitality,-0.8164965809277253,Toluca,MX
guadalajara,Information,-0.6175402271944638,Guadalajara,MX
mexico_city,Information,-1.0292337119907728,Mexico City,MX
monterrey,Information,0.6175402271944638,Monterrey,MX
puebla,Information,-1.0292337119907728,Puebla,MX
tijuana,Information,1.0292337119907728,Tijuana,MX
toluca,Information,1.0292337119907728,Toluca,MX
guadalajara,Manufacturing,-0.3627381250550058,Guadalajara,MX
mexico_city,Manufacturing,0.3627381250550058,Mexico City,MX
monterrey,Manufacturing,1.0882143751650175,Monterrey,MX
puebla,Manufacturing,0.3627381250550058,Puebla,MX
tijuana,Manufacturing,-1.8136906252750291,Tijuana,MX
toluca,Manufacturing,0.3627381250550058,Toluca,MX
guadalajara,Professional Service,1.5498260496951668,Guadalajara,MX
mexico_city,Professional Service,-1.107018606925119,Mexico City,MX
monterrey,Professional Service,-1.107018606925119,Monterrey,MX
puebla,Professional Service,0.2214037213850239,Puebla,MX
tijuana,Professional Service,0.2214037213850239,Tijuana,MX
toluca,Professional Service,0.2214037213850239,Toluca,MX
guadalajara,Public Administration,1.3220113646307288,Guadalajara,MX
mexico_city,Public Administration,-0.5926257841448092,Mexico City,MX
monterrey,Public Administration,0.5014525865840695,Monterrey,MX
puebla,Public Administration,-0.8661453768270289,Puebla,MX
tijuana,Public Administration,0.7749721792662893,Tijuana,MX
toluca,Public Administration,-1.139664969509249,Toluca,MX
guadalajara,Real Estate,-0.530595449972511,Guadalajara,MX
mexico_city,Real Estate,-0.530595449972511,Mexico City,MX
monterrey,Real Estate,-0.8489527199560176,Monterrey,MX
puebla,Real Estate,0.7428336299615158,Puebla,MX
tijuana,Real Estate,-0.530595449972511,Tijuana,MX
toluca,Real Estate,1.697905439912036,Toluca,MX
guadalajara,Retail,0.7905694150420948,Guadalajara,MX
mexico_city,Retail,1.5811388300841895,Mexico City,MX
monterrey,Retail,-0.7905694150420948,Monterrey,MX
puebla,Retail,-0.7905694150420948,Puebla,MX
tijuana,Retail,0.0,Tijuana,MX
toluca,Retail,-0.7905694150420948,Toluca,MX
guadalajara,Transportation,0.0328336852028784,Guadalajara,MX
mexico_city,Transportation,0.0328336852028784,Mexico City,MX
monterrey,Transportation,0.8208421300719632,Monterrey,MX
puebla,Transportation,0.623840018854692,Puebla,MX
tijuana,Transportation,0.4268379076374208,Tijuana,MX
toluca,Transportation,-1.9371874269698333,Toluca,MX
guadalajara,Wholesale,-0.5976143046671968,Guadalajara,MX
mexico_city,Wholesale,-0.5976143046671968,Mexico City,MX
monterrey,Wholesale,1.1952286093343936,Monterrey,MX
puebla,Wholesale,1.1952286093343936,Puebla,MX
tijuana,Wholesale,0.0,Tijuana,MX
toluca,Wholesale,-1.1952286093343936,Toluca,MX
belo_horizonte,Agriculture,0.8268355083865248,Belo Horizonte,BR
brasilia,Agriculture,-1.653671016773049,Brasilia,BR
fortaleza,Agriculture,0.8268355083865248,Fortaleza,BR
rio_de_janeiro,Agriculture,-0.6996300455578284,Rio De Janeiro,BR
salvador,Agriculture,0.0636027314143481,Salvador,BR
sao_paulo,Agriculture,0.6360273141434806,Sao Paulo,BR
belo_horizonte,Art/Culture,0.3631205586088292,Belo Horizonte,BR
brasilia,Art/Culture,-0.7262411172176583,Brasilia,BR
fortaleza,Art/Culture,1.6703545696006143,Fortaleza,BR
rio_de_janeiro,Art/Culture,-0.944113452382956,Rio De Janeiro,BR
salvador,Art/Culture,-0.7262411172176583,Salvador,BR
sao_paulo,Art/Culture,0.3631205586088292,Sao Paulo,BR
belo_horizonte,Business Support,-0.0449194418380769,Belo Horizonte,BR
brasilia,Business Support,-0.5839527438950021,Brasilia,BR
fortaleza,Business Support,-1.3925026969803898,Fortaleza,BR
rio_de_janeiro,Business Support,1.5721804643326984,Rio De Janeiro,BR
salvador,Business Support,-0.0449194418380769,Salvador,BR
sao_paulo,Business Support,0.4941138602188482,Sao Paulo,BR
belo_horizonte,Construction,-0.9446324065374988,Belo Horizonte,BR
brasilia,Construction,0.6011297132511352,Brasilia,BR
fortaleza,Construction,-1.4598864464670436,Fortaleza,BR
rio_de_janeiro,Construction,0.0858756733215904,Rio De Janeiro,BR
salvador,Construction,0.6011297132511352,Salvador,BR
sao_paulo,Construction,1.1163837531806795,Sao Paulo,BR
belo_horizonte,Corporate,0.4025713287380293,Belo Horizonte,BR
brasilia,Corporate,1.1457799356390068,Brasilia,BR
fortaleza,Corporate,-0.8980437333386813,Fortaleza,BR
rio_de_janeiro,Corporate,0.7741756321885181,Rio De Janeiro,BR
salvador,Corporate,-1.4554501885144144,Salvador,BR
sao_paulo,Corporate,0.0309670252875406,Sao Paulo,BR
belo_horizonte,Education,-0.154303349962092,Belo Horizonte,BR
brasilia,Education,1.4658818246398733,Brasilia,BR
fortaleza,Education,-1.3115784746777814,Fortaleza,BR
rio_de_janeiro,Education,0.3086066999241837,Rio De Janeiro,BR
salvador,Education,-0.8486684247915057,Salvador,BR
sao_paulo,Education,0.5400617248673216,Sao Paulo,BR
belo_horizonte,Energy,0.3227486121839503,Belo Horizonte,BR
brasilia,Energy,0.3227486121839503,Brasilia,BR
fortaleza,Energy,0.3227486121839503,Fortaleza,BR
rio_de_janeiro,Energy,1.2909944487358047,Rio De Janeiro,BR
salvador,Energy,-0.645497224367904,Salvador,BR
sao_paulo,Energy,-1.6137430609197585,Sao Paulo,BR
belo_horizonte,Financial,-0.3633362097563796,Belo Horizonte,BR
brasilia,Financial,-0.3633362097563796,Brasilia,BR
fortaleza,Financial,0.4541702621954747,Fortaleza,BR
rio_de_janeiro,Financial,-0.6358383670736645,Rio De Janeiro,BR
salvador,Financial,1.8166810487818987,Salvador,BR
sao_paulo,Financial,-0.9083405243909493,Sao Paulo,BR
belo_horizonte,Health,-1.0031397251510383,Belo Horizonte,BR
brasilia,Health,1.253924656438798,Brasilia,BR
fortaleza,Health,-0.6269623282193989,Fortaleza,BR
rio_de_janeiro,Health,0.5015698625755192,Rio De Janeiro,BR
salvador,Health,-1.0031397251510383,Salvador,BR
sao_paulo,Health,0.8777472595071586,Sao Paulo,BR
belo_horizonte,Hospitality,0.2562839148128299,Belo Horizonte,BR
brasilia,Hospitality,0.4484968509224523,Brasilia,BR
fortaleza,Hospitality,0.6407097870320747,Fortaleza,BR
rio_de_janeiro,Hospitality,-1.6658454462833938,Rio De Janeiro,BR
salvador,Hospitality,1.0251356592513194,Salvador,BR
sao_paulo,Hospitality,-0.7047807657352819,Sao Paulo,BR
belo_horizonte,Information,-1.1531640100361062,Belo Horizonte,BR
brasilia,Information,0.6918984060216639,Brasilia,BR
fortaleza,Information,0.6918984060216639,Fortaleza,BR
rio_de_janeiro,Information,-0.2306328020072212,Rio De Janeiro,BR
salvador,Information,1.1531640100361062,Salvador,BR
sao_paulo,Information,-1.1531640100361062,Sao Paulo,BR
belo_horizonte,Manufacturing,-0.8164965809277253,Belo Horizonte,BR
brasilia,Manufacturing,-0.8164965809277253,Brasilia,BR
fortaleza,Manufacturing,0.4082482904638637,Fortaleza,BR
rio_de_janeiro,Manufacturing,1.6329931618554527,Rio De Janeiro,BR
salvador,Manufacturing,-0.8164965809277253,Salvador,BR
sao_paulo,Manufacturing,0.4082482904638637,Sao Paulo,BR
belo_horizonte,Professional Service,-0.4758668672668007,Belo Horizonte,BR
brasilia,Professional Service,-0.4758668672668007,Brasilia,BR
fortaleza,Professional Service,1.522773975253762,Fortaleza,BR
rio_de_janeiro,Professional Service,-0.4758668672668007,Rio De Janeiro,BR
salvador,Professional Service,0.9517337345336012,Salvador,BR
sao_paulo,Professional Service,-1.0469071079869614,Sao Paulo,BR
belo_horizonte,Public Administration,1.045736666779897,Belo Horizonte,BR
brasilia,Public Administration,-1.1430144962477948,Brasilia,BR
