city,naics,mean_eci_zscore,clean_city_name,country
monterrey,Professional Service,1.0538305765360267,Monterrey,MX
monterrey,Corporate,1.037635352545467,Monterrey,MX
tijuana,Corporate,0.9710023744341884,Tijuana,MX
puebla,Professional Service,0.9293730468488812,Puebla,MX
puebla,Construction,0.8980517515085726,Puebla,MX
guadalajara,Construction,0.8970584729360065,Guadalajara,MX
monterrey,Financial,0.8942453097569995,Monterrey,MX
puebla,Information,0.8904512110367186,Puebla,MX
puebla,Financial,0.8817776707122549,Puebla,MX
guadalajara,Professional Service,0.8705315598086955,Guadalajara,MX
mexico_city,Real Estate,0.8601920366552294,Mexico City,MX
monterrey,Construction,0.8084102818991904,Monterrey,MX
puebla,Business Support,0.8079256447866094,Puebla,MX
monterrey,Business Support,0.807811082423757,Monterrey,MX
monterrey,Real Estate,0.7324852953410009,Monterrey,MX
monterrey,Health,0.7088643619060547,Monterrey,MX
puebla,Public Administration,0.7053459209145092,Puebla,MX
mexico_city,Public Administration,0.6859370082361909,Mexico City,MX
monterrey,Information,0.6832332293292124,Monterrey,MX
mexico_city,Art/Culture,0.6831784328837892,Mexico City,MX
monterrey,Art/Culture,0.6470995599772005,Monterrey,MX
puebla,Health,0.6413945354711716,Puebla,MX
mexico_city,Energy,0.6206857883558137,Mexico City,MX
puebla,Art/Culture,0.6090633265955214,Puebla,MX
guadalajara,Business Support,0.5988446418238728,Guadalajara,MX
mexico_city,Wholesale,0.5943510450402774,Mexico City,MX
puebla,Energy,0.580211763060324,Puebla,MX
monterrey,Energy,0.5801010041069831,Monterrey,MX
puebla,Real Estate,0.5099295323502097,Puebla,MX
mexico_city,Hospitality,0.5093971604211753,Mexico City,MX
puebla,Education,0.5086458140996641,Puebla,MX
guadalajara,Information,0.5076822344999302,Guadalajara,MX
guadalajara,Financial,0.4910922770795042,Guadalajara,MX
guadalajara,Real Estate,0.4735897402953358,Guadalajara,MX
monterrey,Hospitality,0.4624719347358361,Monterrey,MX
mexico_city,Transportation,0.4541935284289394,Mexico City,MX
puebla,Hospitality,0.4487492577002971,Puebla,MX
mexico_city,Health,0.4446395287210406,Mexico City,MX
tijuana,Professional Service,0.4301888376910454,Tijuana,MX
toluca,Agriculture,0.4273197518482632,Toluca,MX
guadalajara,Art/Culture,0.415695099328223,Guadalajara,MX
guadalajara,Energy,0.4037605605497073,Guadalajara,MX
monterrey,Public Administration,0.4023580408193237,Monterrey,MX
tijuana,Construction,0.3534279956601744,Tijuana,MX
toluca,Professional Service,0.3533288051256413,Toluca,MX
monterrey,Education,0.3515309229912068,Monterrey,MX
mexico_city,Education,0.344469060493966,Mexico City,MX
monterrey,Wholesale,0.3300318341231537,Monterrey,MX
toluca,Transportation,0.2723771312284178,Toluca,MX
monterrey,Retail,0.2664126220237104,Monterrey,MX
toluca,Education,0.2655650703080097,Toluca,MX
guadalajara,Health,0.2619192149733609,Guadalajara,MX
toluca,Financial,0.25890464598654,Toluca,MX
guadalajara,Wholesale,0.2481717640926428,Guadalajara,MX
toluca,Public Administration,0.2456760343643123,Toluca,MX
toluca,Business Support,0.2338912678609674,Toluca,MX
toluca,Health,0.2319539413951151,Toluca,MX
tijuana,Art/Culture,0.2205187298859534,Tijuana,MX
toluca,Information,0.2158590662958011,Toluca,MX
toluca,Wholesale,0.2121932448115768,Toluca,MX
puebla,Wholesale,0.2097451064721873,Puebla,MX
monterrey,Agriculture,0.2036600342598428,Monterrey,MX
tijuana,Business Support,0.2010288838313683,Tijuana,MX
puebla,Retail,0.1991239032137512,Puebla,MX
tijuana,Financial,0.1970572676898718,Tijuana,MX
guadalajara,Hospitality,0.1852625837132808,Guadalajara,MX
tijuana,Real Estate,0.1767754740829052,Tijuana,MX
toluca,Hospitality,0.1639615911631725,Toluca,MX
monterrey,Transportation,0.158644963561554,Monterrey,MX
tijuana,Health,0.1197761335377421,Tijuana,MX
